game_id,player_name,player_game_number,variant_name,number_of_suits,number_of_players,score,max_score,player_rating,change_in_player_rating,avg_team_rating
993950,Incogneato,1,Rainbow (6 Suits),6,5,30,1,1218.717738214179,18.717738214179008,1218.397109579762
993986,KildaScoreHunt,1,No Variant,5,4,25,1,1206.9123614645357,6.9123614645357065,1291.1299118738352
994014,KildaScoreHunt,2,6 Suits,6,3,30,1,1214.056546644876,7.144185180340173,1279.1781513722074
994037,KildaScoreHunt,3,Rainbow (5 Suits),5,3,0,0,1183.875569282706,-30.18097736216987,1286.3223365525475
994044,KildaScoreHunt,4,Rainbow (5 Suits),5,3,25,1,1195.5900483536336,11.71447907092761,1256.1413591903777
994057,KildaScoreHunt,5,Prism (5 Suits),5,3,25,1,1206.7558182022483,11.165769848614673,1267.8558382613053
994066,KildaScoreHunt,6,Light Pink (5 Suits),5,3,25,1,1228.301363380152,21.545545177903705,1279.02160810992
994392,KildaScoreHunt,7,Prism (5 Suits),5,5,24,0,1200.1257865394157,-28.17557684073654,1352.251802116832
993939,LeCoco,1,Brown (5 Suits),5,4,25,1,1219.8016132048588,19.801613204858768,1210.6165766222937
993950,LeCoco,2,Rainbow (6 Suits),6,5,30,1,1238.5193514190378,18.717738214179008,1218.397109579762
993975,LeCoco,3,Pink (6 Suits),6,5,30,1,1263.4231401476602,24.90378872862243,1239.3087424330652
993930,LeagueLana,1,No Variant,5,3,25,1,1209.885598204942,9.88559820494197,1204.26983729145
993939,LeagueLana,2,Brown (5 Suits),5,4,25,1,1229.6872114098007,19.801613204858768,1210.6165766222937
993975,LeagueLana,3,Pink (6 Suits),6,5,30,1,1254.5910001384232,24.90378872862243,1239.3087424330652
994211,LeagueLana,4,Pink (5 Suits),5,3,25,1,1270.8370143091574,16.24601417073427,1266.4351694990569
994218,LeagueLana,5,Brown (5 Suits),5,3,25,1,1285.543909652603,14.706895343445469,1282.6811836697912
994227,LeagueLana,6,Rainbow (6 Suits),6,4,30,1,1295.689479240159,10.14556958755611,1287.2459294913274
994211,MarkusKarlsen,1,Pink (5 Suits),5,3,25,1,1216.2460141707345,16.24601417073427,1266.4351694990569
994218,MarkusKarlsen,2,Brown (5 Suits),5,3,25,1,1230.9529095141795,14.706895343445469,1282.6811836697912
994227,MarkusKarlsen,3,Rainbow (6 Suits),6,4,30,1,1241.0984791017358,10.14556958755611,1287.2459294913274
993930,Neempasta,1,No Variant,5,3,25,1,1209.885598204942,9.88559820494197,1204.26983729145
993939,Neempasta,2,Brown (5 Suits),5,4,25,1,1229.6872114098007,19.801613204858768,1210.6165766222937
993950,Neempasta,3,Rainbow (6 Suits),6,5,30,1,1248.4049496239795,18.717738214179008,1218.397109579762
993975,Neempasta,4,Pink (6 Suits),6,5,30,1,1273.3087383526022,24.90378872862243,1239.3087424330652
994471,Neempasta,5,Clue Starved (5 Suits),5,4,25,1,1307.2346418212844,33.92590346868224,1296.2031748315433
994490,Neempasta,6,Muddy Rainbow (5 Suits),5,4,25,1,1320.5146351986143,13.279993377329902,1328.008709333433
